title,genres,,,,summary
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,,,,A movie about the hidden life of toys.
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,,,Two cops who are brothers cause trouble in the NY subway.
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,,,,A psychologist and detective take down a serial killer
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)",Action|Adventure|Animation|Children|Comedy|Fantasy,,,,An animated film that displays Asterix's twelve tasks he must complete.
TMNT (Teenage Mutant Ninja Turtles) (2007),Action|Adventure|Animation|Children|Comedy|Fantasy,,,,Four turtles are raised by a rat in a sewer.
The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy,,,,Lego man fights against superglue.
Madagascar: Escape 2 Africa (2008),Action|Adventure|Animation|Children|Comedy|IMAX,,,,animals of Madagascar fly to NYC but instead accidently land in Africa 
Kung Fu Panda 2 (2011),Action|Adventure|Animation|Children|Comedy|IMAX,,,,"Po, a panda hero prepares to save the day again when a villian appears"
Ice Age: Dawn of the Dinosaurs (2009),Action|Adventure|Animation|Children|Comedy|Romance,,,,A prehistoric herd venture into a hidden dinosaur-filled cave.
Chicken Little (2005),Action|Adventure|Animation|Children|Comedy|Sci-Fi,,,,Chicken Little attempt to save the world with his friends
Meet the Robinsons (2007),Action|Adventure|Animation|Children|Comedy|Sci-Fi,,,,A boy searches for his mother who ends up meeting a time traveler and his family
Free Birds (2013),Action|Adventure|Animation|Children|Comedy|Sci-Fi,,,,Two turkeys pair up to get turkeys off as the main course for Thanksgiving.
Ratchet & Clank (2016),Action|Adventure|Animation|Children|Comedy|Sci-Fi,,,,A mechanic and his robot friend team up with a squad to save the universe.
Space Chicken (2017),Action|Adventure|Animation|Children|Comedy|Sci-Fi,,,,A chicken from space comes to Earth for an invasion.
Mars Needs Moms (2011),Action|Adventure|Animation|Children|Comedy|Sci-Fi|IMAX,,,,A boy explores outer space to retrieve his mom
Rango (2011),Action|Adventure|Animation|Children|Comedy|Western,,,,A pet lizard rescues a drying up Wild-West town
Detective Conan: Crimson Love Letter (2017),Action|Adventure|Animation|Children|Crime|Mystery,,,,A Japanese animated film that involves a solving a murder case.
Kim Possible Movie: So the Drama (2005),Action|Adventure|Animation|Children|Drama,,,,Kim Possible struggles with her love life and her world-saving career.
"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,,,,A boy is so consumed by statistics of accidents that when he slips he has to eventually deal with that fear.
Pokémon: Spell of the Unown (2000),Action|Adventure|Animation|Children|Fantasy,,,,Me Snowdon uses the Unknown to create a virtual dream world where her father is after his disappearance.
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,,,,A pair of orphans explore a floating castle
Pokémon the Movie: Genesect and the Legend Awakened (2013),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,,,,Two groups of human-engineered creatures clash against each other
"Chill Out, Scooby-Doo! (2007)",Action|Adventure|Animation|Children|Mystery,,,,A friend group's trip in Oaris goes wrong when two of them miss their flight and end up in the Himalayas.
Titan A.E. (2000),Action|Adventure|Animation|Children|Sci-Fi,,,,A post-apocalyptic world where Project Titan causes aliens to destroy Earth.
Kaena: The Prophecy (Kaena: La prophétie) (2003),Action|Adventure|Animation|Children|Sci-Fi,,,,"On the planet of Axis, a girl challenges a priest and religion."
LEGO Hero Factory: Savage Planet (2011),Action|Adventure|Animation|Children|Sci-Fi,,,,A mission calls for heroes to be built to save those in planet Quatros.
Teen Titans: Trouble in Tokyo (2007),Action|Adventure|Animation|Children|Sci-Fi,,,,Teen Titans fly to Tokyo to find themselves in trouble with an enemy from the past. 
Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku) (1999),Action|Adventure|Animation|Comedy|Drama|Fantasy|Romance,,,,A manga-adapted film where Utena faces trouble arriving at Ohtori Academy.
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi,,,,A film about creating a the best workout machine ever.
Kingsglaive: Final Fantasy XV (2016),Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,,,,A king protects his kindom from the Niflheim empire's plans to steal his crystal which gives his land power.
Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,,,,A pair of Italian plumber brothers try to save a paleontologist named Daisy from Bowser.
Underdog (2007),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,,,,A beagle with superpowers saves people and escapes a mad scientist.
Cloak & Dagger (1984),Action|Adventure|Children|Crime|Mystery|Thriller,,,,A boy escapes life through video games.
Kaho Naa... Pyaar Hai (2000),Action|Adventure|Comedy|Drama|Mystery|Romance|Thriller,,,,An Indian film about a young man who brings love and joy to a girl.
Rough Cut (1980),Action|Adventure|Comedy|Crime|Mystery|Romance,,,,A jewel heist film that ends in love.
Sherlock Holmes: A Game of Shadows (2011),Action|Adventure|Comedy|Crime|Mystery|Thriller,,,,Detective Holmes tries to catch criminal Professor Moriarty in Europe.
"Chase, The (1994)",Action|Adventure|Comedy|Crime|Romance|Thriller,,,,In a small town a sheriff tries to catch the son of a rich oil-man.
Osmosis Jones (2001),Action|Animation|Comedy|Crime|Drama|Romance|Thriller,,,,A comedic film involving cops.
"Glamorous Life of Sachiko Hanai, The (Hatsujô kateikyôshi: sensei no aijiru) (2003)",Action|Comedy|Drama|Fantasy|Mystery|Sci-Fi|War,,,,A call girl who gets power from a bullet to the head and cylinder of Bush's finger.
Calcutta (1947),Action|Crime|Drama|Film-Noir|Mystery|Romance|Thriller,,,,Three American pilots face trouble in post-WWII Asia.
Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,,,,A professional thief steals sensitive information from his target's dreams.
Night Watch (Nochnoy dozor) (2004),Action|Fantasy|Horror|Mystery|Sci-Fi|Thriller,,,,A Russian film where those who control the night and the day battle.
Cowboys & Aliens (2011),Action|Sci-Fi|Thriller|Western|IMAX,,,,A spaceship arrives in Arizona leads to a face-off between cowboys and aliens.
Enchanted (2007),Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance,,,,"A young woman from Andalasia, a fantasy land, is sent to NYC to find true love."
Robots (2005),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX,,,,An inventor dreams of a building a better world but meets an evil robot instead.
All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,,,,A dog who's an angel goes back to Earth and ends up becoming friends with an orphan who speaks to animals.
Felix the Cat: The Movie (1988),Adventure|Animation|Children|Fantasy|Musical|Sci-Fi,,,,Felix the Cat tries to save Princess Oriana from her evil Uncle Zill.
Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance,,,,An ice queen accidently freezes her entire home and her sister and her friends tries to restore the weather to normal.
Jack and the Cuckoo-Clock Heart (Jack et la mécanique du coeur) (2013),Adventure|Animation|Drama|Fantasy|Musical|Romance,,,,A man's heart is replaced with a clock at birth and he deals with conflict because of it.
Interstate 60 (2002),Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller,,,,A confused young man and artist drives on a nonexistant highway.
Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy,,,,A girl has a colorful mind when she is born full of emotions.
Pok\'e9mon the Movie: Genesect and the Legend Awakened (2013),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,,,,Mewtwo and Genesect are causing chaos and three friends must stop them before it's too late.
Berlin Tunnel 21 (1981),Action|Comedy|Documentary|Drama|Romance|Thriller,,,,An American soldier and German engineer build a tunnel under the Berlin Wall to help refugees escape.
The Man Called Flintstone (1966),Adventure|Animation|Children|Mystery|Romance,,,,Fred Flintstone is on a mission to catch a a criminal after his look-a-like spy is injured by him.
Hellboy Animated: Blood and Iron (2007),Action|Animation|Fantasy|Horror|Sci-Fi|Thriller,,,,An ancient vampire reemerges and it's up to Hellboy and his team to stop him.
Three Wishes for Cinderella (1973),Adventure|Children|Drama|Fantasy|Romance,,,,"Cinderella is a sharpshooter with three wishes to use, making it harder for her Prince to woo her."
Journey to the Center of the Earth (1999),Action|Adventure|Children|Fantasy|Sci-Fi,,,,An adventure film about travelers in a mysterious land.
Saheb Biwi Aur Gangster (2011),Action|Crime|Drama|Romance|Thriller,,,,An Indian film about gangsters and romance.
The Good Dinosaur (2015),Adventure|Animation|Children|Comedy|Fantasy,,,, A film about dinosaurs and humans who live together.
Silver Bullet (Stephen King's Silver Bullet) (1985),Adventure|Drama|Horror|Mystery|Thriller,,,, A small town that is haunted by killings of a mysterial creature.
Scooby-Doo! Mask of the Blue Falcon (2012),Adventure|Animation|Children|Comedy|Fantasy,,,,Shaggy and his dog try to stop their nemesis Mr. Hyde.
Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,,,,Two detectives from LA go to Alaska to investigate a murder case.
Modern Vampires (1998),Action|Comedy|Horror|Romance|Thriller,,,,Vampires are in control of the US so Dr. Van Helsing appoints gangbangers to capture them.
King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller,,,,Americans live in terror of a monster named King Kong.
Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller,,,,A film that takes delves into Detective Holmes's youth and his special detective skills.
Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller,,,,A gigantic gorillla is exploited by Hollywood producers.
"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller,,,,An ancient is accidently awakened and causes havoc in search of his former love.
Black Mask (Hak hap) (1996),Action|Adventure|Crime|Sci-Fi|Thriller,,,,A supersoldier being the result of a project takes on the role of a vigilante superhero known as the Black Mask.
"Golden Child, The (1986)",Action|Adventure|Comedy|Fantasy|Mystery,,,,A private detective tries to find a special child that the dark forces wants to kill.
"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi,,,,A boy befriends a gigantic space robot that the goverment wants to destroy.
Little Nemo: Adventures in Slumberland (1992),Adventure|Animation|Children|Drama|Fantasy,,,,Nemo tries to save Slumberland from Nightmareland.
"Pelican Brief, The (1993)",Crime|Drama|Mystery|Romance|Thriller,,,,A law student puts herself in danger after discovering a goverment-involved conspiracy.
Three Kings (1999),Action|Adventure|Comedy|Drama|War,,,,A group of American soldiers try to steal gold but instead find themselves saving people in Iraq.
Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,,,,Roger is the prime suspect of a murder case after hiring a detective to spy on his wife Jessica/.
Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy,,,,A Japanese fantasy film about finding a cure to a curse in the middle of a war.
Robin Hood (1973),Adventure|Animation|Children|Comedy|Musical,,,,"Robin tries to take back his town after revealing himself as the ""Hood."""
Dragonfly (2002),Drama|Fantasy|Mystery|Romance|Thriller,,,,A doctor in grief talks to his wife through his patient's near death experiences.
Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,,,,A film about a cowboy toy being stolen by a toy collector and his other toy friends are out to save him.
Teenage Mutant Ninja Turtles III (1993),Action|Adventure|Children|Comedy|Fantasy,,,,Four talking turtles travel back in time to Japan.
"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western,,,,A farmer turned guerilla fighter seeks revenge.
The Slipper and the Rose: The Story of Cinderella (1976),Adventure|Children|Fantasy|Musical|Romance,,,,A prince searches for his soulmate with her shoe as the only clue.
3:10 to Yuma (1957),Action|Adventure|Drama|Thriller|Western,,,,A veteran escorts an outlaw to regain his honour and barn.
"Flight of Dragons, The (1982)",Adventure|Animation|Children|Drama|Fantasy,,,,A writer is sent back in time to lead a quest for a red crown.
"Mothman Prophecies, The (2002)",Drama|Fantasy|Horror|Mystery|Thriller,,,,A columnist becomes entangled with supernatural events in a faraway town.
Nurse Betty (2000),Comedy|Crime|Drama|Romance|Thriller,,,,A waitress becomes delusional after witnessing her husband's murder.
"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy,,,,An emperor is turned into a llama and must reclaim his throne.
"Big Easy, The (1987)",Action|Crime|Mystery|Romance|Thriller,,,,A detective tries to solve a string of murders while dealing with a beautiful attorney.
Extreme Prejudice (1987),Action|Crime|Drama|Thriller|Western,,,,A Texas Ranger confronts his now-drug lord childhood friend.
Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,,,,A green ogre journeys to save a princess.
Escaflowne: The Movie (Escaflowne) (2000),Action|Adventure|Animation|Drama|Fantasy,,,,An anime film about a girl with psychic powers who finds herself attacked by an empire in a magical World.
